5,0,690.0,331.0,37.0,119.0,0.94,-1,-1,-1
5,1,793.0,327.0,33.0,109.0,0.98,-1,-1,-1
5,2,872.0,267.0,70.0,273.0,0.97,-1,-1,-1
5,3,730.0,321.0,36.0,116.0,0.95,-1,-1,-1
5,4,0.0,0.0,294.0,953.0,0.94,-1,-1,-1
5,5,900.0,168.0,180.0,603.0,1.0,-1,-1,-1
5,6,376.0,282.0,103.0,295.0,1.0,-1,-1,-1
5,7,524.0,273.0,92.0,311.0,0.99,-1,-1,-1
6,0,690.0,335.0,34.0,109.0,0.85,-1,-1,-1
6,1,790.0,329.0,34.0,104.0,0.99,-1,-1,-1
6,2,870.0,264.0,68.0,282.0,0.96,-1,-1,-1
6,3,726.0,322.0,37.0,114.0,0.98,-1,-1,-1
6,4,0.0,46.0,289.0,980.0,0.9,-1,-1,-1
6,5,897.0,169.0,186.0,598.0,1.0,-1,-1,-1
6,6,371.0,277.0,106.0,302.0,1.0,-1,-1,-1
6,7,518.0,272.0,95.0,311.0,1.0,-1,-1,-1
7,0,687.0,332.0,30.0,115.0,0.92,-1,-1,-1
7,1,788.0,329.0,35.0,105.0,0.98,-1,-1,-1
7,2,869.0,265.0,69.0,277.0,0.97,-1,-1,-1
7,3,725.0,323.0,37.0,114.0,0.99,-1,-1,-1
7,4,0.0,4.0,226.0,958.0,0.86,-1,-1,-1
7,5,902.0,170.0,171.0,610.0,1.0,-1,-1,-1
7,6,364.0,275.0,110.0,311.0,1.0,-1,-1,-1
7,7,512.0,273.0,96.0,310.0,1.0,-1,-1,-1
8,0,685.0,335.0,31.0,113.0,0.99,-1,-1,-1
8,1,786.0,329.0,34.0,105.0,0.95,-1,-1,-1
8,2,868.0,261.0,69.0,289.0,0.96,-1,-1,-1
8,3,722.0,322.0,40.0,118.0,0.96,-1,-1,-1
8,4,0.0,19.0,219.0,916.0,0.9,-1,-1,-1
8,5,902.0,175.0,165.0,599.0,1.0,-1,-1,-1
8,6,356.0,277.0,114.0,309.0,1.0,-1,-1,-1
8,7,509.0,278.0,98.0,309.0,1.0,-1,-1,-1
9,0,682.0,337.0,34.0,112.0,0.98,-1,-1,-1
9,1,779.0,334.0,38.0,107.0,0.95,-1,-1,-1
9,2,868.0,265.0,70.0,285.0,0.94,-1,-1,-1
9,3,719.0,328.0,40.0,118.0,0.97,-1,-1,-1
9,4,0.0,6.0,202.0,937.0,0.88,-1,-1,-1
9,5,893.0,184.0,174.0,585.0,0.99,-1,-1,-1
9,6,349.0,272.0,115.0,324.0,1.0,-1,-1,-1
9,7,506.0,274.0,98.0,317.0,1.0,-1,-1,-1
10,0,680.0,337.0,34.0,115.0,0.99,-1,-1,-1
10,1,778.0,334.0,38.0,106.0,0.99,-1,-1,-1
10,2,866.0,266.0,71.0,289.0,0.88,-1,-1,-1
10,3,718.0,327.0,40.0,122.0,0.97,-1,-1,-1
10,4,0.0,2.0,193.0,940.0,0.87,-1,-1,-1
10,5,895.0,184.0,178.0,586.0,0.99,-1,-1,-1
10,6,344.0,270.0,116.0,330.0,1.0,-1,-1,-1
10,7,504.0,272.0,98.0,323.0,1.0,-1,-1,-1
11,0,677.0,340.0,36.0,112.0,0.98,-1,-1,-1
11,1,775.0,337.0,41.0,109.0,1.0,-1,-1,-1
11,2,857.0,262.0,89.0,306.0,0.91,-1,-1,-1
11,3,715.0,329.0,38.0,119.0,0.96,-1,-1,-1
11,5,895.0,179.0,178.0,594.0,1.0,-1,-1,-1
11,6,338.0,270.0,114.0,334.0,1.0,-1,-1,-1
11,7,497.0,267.0,100.0,334.0,1.0,-1,-1,-1
12,0,676.0,351.0,33.0,105.0,0.97,-1,-1,-1
12,1,774.0,338.0,42.0,107.0,1.0,-1,-1,-1
12,2,855.0,261.0,91.0,307.0,0.83,-1,-1,-1
12,3,713.0,331.0,41.0,121.0,0.99,-1,-1,-1
12,5,891.0,176.0,172.0,600.0,0.99,-1,-1,-1
12,6,332.0,270.0,114.0,335.0,1.0,-1,-1,-1
12,7,490.0,267.0,103.0,338.0,1.0,-1,-1,-1
13,0,674.0,350.0,33.0,107.0,0.98,-1,-1,-1
13,1,774.0,338.0,40.0,106.0,1.0,-1,-1,-1
13,2,868.0,264.0,68.0,290.0,0.84,-1,-1,-1
13,3,711.0,329.0,44.0,122.0,0.99,-1,-1,-1
13,5,890.0,172.0,165.0,613.0,0.99,-1,-1,-1
13,6,320.0,280.0,123.0,323.0,0.96,-1,-1,-1
13,7,487.0,267.0,103.0,339.0,1.0,-1,-1,-1
14,0,674.0,355.0,33.0,103.0,0.88,-1,-1,-1
14,1,775.0,338.0,37.0,106.0,1.0,-1,-1,-1
14,2,869.0,268.0,69.0,277.0,0.8,-1,-1,-1
14,3,711.0,330.0,42.0,122.0,1.0,-1,-1,-1
14,5,885.0,174.0,171.0,604.0,0.99,-1,-1,-1
14,6,321.0,280.0,120.0,324.0,0.98,-1,-1,-1
